Latitude,Longitude,ListingType,ListingPrice,FloorSize,TimeOnMarket
40.730893,-73.815377,Apartment for rent,"$2,025/mo",--,13 days ago
40.750017,-73.8584,Apartment for rent,"$1,600/mo",857,13 days ago
40.747303,-73.794406,House for rent,"$4,000/mo","1,672",13 days ago
40.749354,-73.858058,Apartment for rent,"$2,600/mo",--,13 days ago
40.723968,-73.803727,Apartment for rent,"$2,500/mo","1,200",13 days ago
40.72165,-73.80959,Apartment for rent,"$2,500/mo",--,13 days ago
40.727258,-73.855756,Apartment for rent,"$2,400/mo","1,125",13 days ago
40.727586,-73.861543,Apartment for rent,"$2,595/mo","1,236",13 days ago
40.719963,-73.82416,Apartment for rent,"$1,800/mo",--,13 days ago
40.743239,-73.792232,Apartment for rent,"$2,200/mo","2,194",13 days ago
40.72438,-73.80474,Apartment for rent,"$2,500/mo","1,300",13 days ago
40.722932,-73.809033,Apartment for rent,"$2,700/mo","1,250",13 days ago
40.725848,-73.808349,Townhouse for rent,"$1,950/mo","1,002",14 days ago
40.725535,-73.849517,Apartment for rent,"$2,395/mo",--,14 days ago
40.744388,-73.860197,Apartment for rent,"$1,750/mo",650,14 days ago
40.751895,-73.82071,Apartment for rent,"$1,695/mo","1,200",14 days ago
40.738421,-73.853926,Apartment for rent,"$1,500/mo",550,15 days ago
40.740131,-73.820596,Apartment for rent,"$2,200/mo",--,15 days ago
40.744699,-73.823108,Apartment for rent,"$2,000/mo",--,15 days ago
40.751819,-73.827189,Apartment for rent,"$2,700/mo",820,15 days ago
40.73046,-73.80516,Apartment for rent,"$2,600/mo",--,15 days ago
40.721741,-73.839102,Apartment for rent,"$1,875/mo",850,16 days ago
40.745555,-73.858338,House for rent,"$1,600/mo","1,404",16 days ago
40.725257,-73.80728,Apartment for rent,"$1,750/mo",700,16 days ago
40.727697,-73.810442,House for rent,"$2,200/mo",900,16 days ago
40.73884,-73.80939,Apartment for rent,"$2,100/mo","1,000",16 days ago
40.73251,-73.85704,Apartment for rent,"$4,000/mo","1,250",16 days ago
40.73656,-73.79922,Townhouse for rent,"$2,275/mo",--,16 days ago
40.71989,-73.8241,Apartment for rent,"$1,800/mo",700,16 days ago
40.72765,-73.79663,House for rent,"$1,600/mo","1,552",16 days ago
40.733428,-73.857738,Apartment for rent,"$3,162/mo",--,16 days ago
40.751916,-73.823597,Apartment for rent,"$2,200/mo","1,200",17 days ago
40.74139,-73.85519,Apartment for rent,"$1,799/mo",--,17 days ago
40.738741,-73.797541,Apartment for rent,"$2,200/mo","1,280",17 days ago
